esfuerzo,Prueba,meditacion,reposo
-0.166060512,132.0,-0.024882528,-0.197893114
-0.166060512,133.0,-0.017879355,-0.185160073
-0.178793553,134.0,-0.006419618,-0.191526594
-0.166060512,135.0,-0.012149487,-0.197893114
-0.178793553,136.0,-0.006419618,-0.178793553
-0.172427032,137.0,-0.004509662,-0.166060512
-0.191526594,138.0,-0.010876183,-0.178793553
-0.210626155,139.0,-0.008329575,-0.14696095
-0.248825278,140.0,-0.013422791,-0.172427032
-0.28065788,141.0,-0.011512835,-0.14059443
-0.242458757,142.0,-0.015969399,-0.134227909
-0.242458757,143.0,-0.007692922,-0.134227909
-0.248825278,144.0,-5.31e-05,-0.134227909
-0.229725716,145.0,-5.31e-05,-0.134227909
-0.204259634,146.0,0.001220206,-0.115128348
-0.216992675,147.0,-0.011512835,-0.108761827
-0.197893114,148.0,-0.011512835,-0.115128348
-0.210626155,149.0,-5.31e-05,-0.108761827
-0.197893114,150.0,-0.012149487,-0.121494868
-0.236092237,151.0,0.00249351,-0.115128348
-0.223359196,152.0,0.004403466,-0.108761827
-0.261558319,153.0,0.006313423,-0.108761827
-0.27429136,154.0,0.005676771,-0.108761827
-0.337956564,155.0,0.006950075,-0.134227909
-0.388888728,156.0,0.000583554,-0.115128348
-0.452553933,157.0,0.000583554,-0.14059443
-0.458920454,158.0,0.003766814,-0.134227909
-0.433454372,159.0,-5.31e-05,-0.134227909
-0.420721331,160.0,0.008860031,-0.159693991
-0.363422646,161.0,0.014589899,-0.191526594
-0.28065788,162.0,0.012043291,-0.185160073
-0.153327471,163.0,0.006950075,-0.159693991
0.056767705,164.0,0.004403466,-0.178793553
0.432392413,165.0,-0.004509662,-0.172427032
0.636121069,166.0,-0.00387301,-0.197893114
0.693419753,167.0,-0.005146314,-0.197893114
0.782551039,168.0,-0.00068975,-0.204259634
0.706152794,169.0,-0.00068975,-0.185160073
0.228663758,170.0,0.003130162,-0.204259634
-0.267924839,171.0,-0.00068975,-0.204259634
-0.40798829,172.0,-0.00705627,-0.204259634
-0.522585658,173.0,-0.001326402,-0.197893114
-0.573517822,174.0,-0.006419618,-0.210626155
-0.637183027,175.0,-0.008329575,-0.204259634
-0.567151302,176.0,-0.010239531,-0.210626155
-0.535318699,177.0,-0.009602879,-0.204259634
-0.484386535,178.0,-0.013422791,-0.210626155
-0.446187413,179.0,-0.007692922,-0.216992675
-0.446187413,180.0,-0.023609224,-0.210626155
-0.395255249,181.0,-0.020425963,-0.223359196
-0.337956564,182.0,-0.010876183,-0.236092237
-0.28065788,183.0,-0.013422791,-0.216992675
-0.248825278,184.0,-0.017242703,-0.216992675
-0.191526594,185.0,-0.015969399,-0.210626155
-0.178793553,186.0,-0.010239531,-0.216992675
-0.166060512,187.0,-0.002599706,-0.229725716
-0.172427032,188.0,-0.018516007,-0.229725716
-0.153327471,189.0,-0.005146314,-0.229725716
-0.127861389,190.0,-0.010876183,-0.216992675
-0.134227909,191.0,-0.020425963,-0.216992675
-0.096028786,192.0,-0.017242703,-0.229725716
-0.108761827,193.0,-0.014696095,-0.229725716
-0.115128348,194.0,-0.010239531,-0.223359196
-0.102395307,195.0,0.00249351,-0.267924839
-0.096028786,196.0,0.005040118,-0.312490483
-0.102395307,197.0,-0.001963054,-0.350689605
-0.102395307,198.0,-0.003236358,-0.41435481
-0.096028786,199.0,-0.013422791,-0.427087851
-0.108761827,200.0,-0.004509662,-0.433454372
-0.108761827,201.0,-0.008329575,-0.420721331
-0.083295745,202.0,-0.007692922,-0.382522208
-0.089662266,203.0,-0.007692922,-0.331590044
-0.051463143,204.0,-0.00705627,-0.236092237
-0.076929225,205.0,-0.001963054,-0.083295745
-0.051463143,206.0,0.010133335,0.12043291
-0.051463143,207.0,0.001856858,0.375093729
-0.032363582,208.0,0.001856858,0.801650601
-0.038730102,209.0,0.004403466,0.839849724
-0.051463143,210.0,0.009496683,0.884415367
-0.01326402,211.0,0.013953247,0.909881449
-0.025997061,212.0,-0.001326402,0.629754548
-0.01326402,213.0,0.012043291,0.082233787
-0.000530979,214.0,0.013316595,-0.382522208
-0.000530979,215.0,0.010769987,-0.452553933
0.005835541,216.0,0.012679943,-0.503486097
0.012202062,217.0,0.020319768,-0.535318699
0.037668144,218.0,0.025412984,-0.490753056
0.018568582,219.0,0.013953247,-0.452553933
0.037668144,220.0,0.020319768,-0.388888728
0.024935103,221.0,0.006313423,-0.395255249
0.037668144,222.0,0.013953247,-0.350689605
0.050401185,223.0,0.007586727,-0.331590044
0.069500746,224.0,0.008223379,-0.357056126
0.069500746,225.0,0.011406639,-0.325223524
0.063134226,226.0,0.014589899,-0.267924839
0.088600307,227.0,0.012679943,-0.236092237
0.082233787,228.0,0.006950075,-0.236092237
0.101333348,229.0,0.007586727,-0.236092237
0.12679943,230.0,0.015226551,-0.210626155
0.145898992,231.0,0.010133335,-0.229725716
0.164998553,232.0,0.009496683,-0.216992675
0.209564197,233.0,0.006950075,-0.236092237
0.222297238,234.0,0.015863203,-0.216992675
0.25412984,235.0,0.005040118,-0.229725716
0.25412984,236.0,-5.31e-05,-0.204259634
0.26049636,237.0,0.007586727,-0.204259634
0.25412984,238.0,0.010133335,-0.197893114
0.209564197,239.0,-0.002599706,-0.191526594
0.228663758,240.0,-0.010239531,-0.197893114
0.209564197,241.0,-0.012786139,-0.178793553
0.196831156,242.0,-0.012786139,-0.185160073
0.196831156,243.0,-0.008329575,-0.178793553
0.171365074,244.0,0.000583554,-0.166060512
0.12679943,245.0,-0.002599706,-0.172427032
0.12043291,246.0,-0.006419618,-0.172427032
0.107699869,247.0,-0.010239531,-0.159693991
0.101333348,248.0,-0.004509662,-0.159693991
0.094966828,249.0,-0.014696095,-0.166060512
0.063134226,250.0,-0.017879355,-0.153327471
0.044034664,251.0,-0.018516007,-0.159693991
0.018568582,252.0,-0.018516007,-0.14696095
-0.0068975,253.0,-0.008329575,-0.153327471
-0.032363582,254.0,-0.021062615,-0.153327471
